filename, language, XML, YAML, JavaScript, JSON, HTML, Dockerfile, CSS, comment, blank, total
frontend\demo\js\other-charts.js, JavaScript, 0, 0, 116, 0, 0, 0, 0, 14, 12, 142
frontend\dropdowns.html, HTML, 0, 0, 0, 0, 811, 0, 0, 42, 146, 999
frontend\empty.html, HTML, 0, 0, 0, 0, 491, 0, 0, 41, 113, 645
frontend\flot-charts.html, HTML, 0, 0, 0, 0, 556, 0, 0, 42, 124, 722
frontend\fonts\roboto\Roboto-Bold-webfont.svg, XML, 593, 0, 0, 0, 0, 0, 0, 0, 0, 593
frontend\fonts\roboto\Roboto-Light-webfont.svg, XML, 641, 0, 0, 0, 0, 0, 0, 0, 0, 641
frontend\fonts\roboto\Roboto-Medium-webfont.svg, XML, 593, 0, 0, 0, 0, 0, 0, 0, 0, 593
frontend\fonts\roboto\Roboto-Regular-webfont.svg, XML, 621, 0, 0, 0, 0, 0, 0, 0, 0, 621
frontend\form-components.html, HTML, 0, 0, 0, 0, 1116, 0, 0, 42, 231, 1389
frontend\form-elements.html, HTML, 0, 0, 0, 0, 726, 0, 0, 41, 165, 932
frontend\form-validation.html, HTML, 0, 0, 0, 0, 531, 0, 0, 41, 121, 693
frontend\groups.html, HTML, 0, 0, 0, 0, 808, 0, 0, 41, 153, 1002
frontend\hidden-sidebar-boxed-layout.html, HTML, 0, 0, 0, 0, 870, 0, 0, 42, 175, 1087
frontend\hidden-sidebar.html, HTML, 0, 0, 0, 0, 868, 0, 0, 42, 175, 1085
frontend\html-table.html, HTML, 0, 0, 0, 0, 950, 0, 0, 41, 131, 1122
frontend\icons.html, HTML, 0, 0, 0, 0, 1471, 0, 0, 42, 989, 2502
frontend\index-2.html, HTML, 0, 0, 0, 0, 868, 0, 0, 42, 175, 1085
frontend\index.ejs, HTML, 0, 0, 0, 0, 427, 0, 0, 10, 85, 522
frontend\invoice.html, HTML, 0, 0, 0, 0, 597, 0, 0, 41, 133, 771
frontend\js\app.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
frontend\js\dynamic.js, JavaScript, 0, 0, 62, 0, 0, 0, 0, 14, 8, 84
frontend\jumbotron.html, HTML, 0, 0, 0, 0, 508, 0, 0, 41, 119, 668
frontend\layout\ieWarning.ejs, HTML, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
frontend\layout\login\link.ejs, HTML, 0, 0, 0, 0, 4, 0, 0, 1, 1, 6
frontend\layout\login\loginSpecialScript.ejs, HTML, 0, 0, 0, 0, 103, 0, 0, 0, 4, 107
frontend\layout\login\meta.ejs, HTML, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
frontend\layout\login\script.ejs, HTML, 0, 0, 0, 0, 6, 0, 0, 2, 1, 9
frontend\layout\main\chat.ejs, HTML, 0, 0, 0, 0, 65, 0, 0, 1, 15, 81
frontend\layout\main\content.ejs, HTML, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
frontend\layout\main\link.ejs, HTML, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
frontend\layout\main\messagesSpecialScript.ejs, HTML, 0, 0, 0, 0, 161, 0, 0, 0, 18, 179
frontend\layout\main\meta.ejs, HTML, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
frontend\layout\main\pageHeader.ejs, HTML, 0, 0, 0, 0, 282, 0, 0, 1, 57, 340
frontend\layout\main\pageLoader.ejs, HTML, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
frontend\layout\main\script.ejs, HTML, 0, 0, 0, 0, 26, 0, 0, 4, 4, 34
frontend\layout\main\settingSpecialScript.ejs, HTML, 0, 0, 0, 0, 241, 0, 0, 0, 12, 253
frontend\layout\main\sidebar.ejs, HTML, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
frontend\listview.html, HTML, 0, 0, 0, 0, 1028, 0, 0, 41, 185, 1254
frontend\lockscreen.html, HTML, 0, 0, 0, 0, 38, 0, 0, 42, 12, 92
frontend\login.ejs, HTML, 0, 0, 0, 0, 116, 0, 0, 12, 24, 152
frontend\login.html, HTML, 0, 0, 0, 0, 212, 0, 0, 46, 29, 287
frontend\messages.ejs, HTML, 0, 0, 0, 0, 90, 0, 0, 137, 40, 267
frontend\messages.html, HTML, 0, 0, 0, 0, 673, 0, 0, 159, 145, 977
frontend\modals.html, HTML, 0, 0, 0, 0, 626, 0, 0, 48, 128, 802
frontend\navs.html, HTML, 0, 0, 0, 0, 627, 0, 0, 41, 133, 801
frontend\notes.html, HTML, 0, 0, 0, 0, 698, 0, 0, 43, 142, 883
frontend\notifications-alerts.html, HTML, 0, 0, 0, 0, 712, 0, 0, 44, 152, 908
frontend\other-charts.html, HTML, 0, 0, 0, 0, 578, 0, 0, 43, 134, 755
frontend\pagination.html, HTML, 0, 0, 0, 0, 599, 0, 0, 41, 133, 773
frontend\photo-gallery.html, HTML, 0, 0, 0, 0, 763, 0, 0, 42, 127, 932
frontend\popover.html, HTML, 0, 0, 0, 0, 537, 0, 0, 42, 122, 701
frontend\pricing-tables.html, HTML, 0, 0, 0, 0, 682, 0, 0, 41, 121, 844
frontend\profile-about.html, HTML, 0, 0, 0, 0, 530, 0, 0, 41, 124, 695
frontend\profile-contacts.html, HTML, 0, 0, 0, 0, 853, 0, 0, 41, 202, 1096
frontend\profile-photos.html, HTML, 0, 0, 0, 0, 772, 0, 0, 42, 131, 945
frontend\progress.html, HTML, 0, 0, 0, 0, 580, 0, 0, 41, 142, 763
frontend\settings.ejs, HTML, 0, 0, 0, 0, 121, 0, 0, 45, 32, 198
frontend\tabs.html, HTML, 0, 0, 0, 0, 696, 0, 0, 45, 125, 866
frontend\todo-lists.html, HTML, 0, 0, 0, 0, 776, 0, 0, 42, 149, 967
frontend\todos.html, HTML, 0, 0, 0, 0, 70, 0, 0, 3, 3, 76
frontend\toolbars.html, HTML, 0, 0, 0, 0, 569, 0, 0, 41, 128, 738
frontend\tooltips.html, HTML, 0, 0, 0, 0, 518, 0, 0, 42, 118, 678
frontend\top-navigation.html, HTML, 0, 0, 0, 0, 780, 0, 0, 42, 154, 976
frontend\typography.html, HTML, 0, 0, 0, 0, 752, 0, 0, 41, 172, 965
frontend\uploader.html, HTML, 0, 0, 0, 0, 18, 0, 0, 2, 3, 23
frontend\vendors\bower_components\Clamp.js\clamp.js, JavaScript, 0, 0, 166, 0, 0, 0, 0, 68, 36, 270
frontend\vendors\bower_components\Waves\dist\waves.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 9, 0, 10
frontend\vendors\bower_components\animate.css\animate.min.css, CSS, 0, 0, 0, 0, 0, 0, 2, 7, 2, 11
frontend\vendors\bower_components\autosize\dist\autosize.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 5, 0, 6
frontend\vendors\bower_components\bootstrap-colorpicker\dist\css\bootstrap-colorpicker.css, CSS, 0, 0, 0, 0, 0, 0, 220, 10, 0, 230
frontend\vendors\bower_components\bootstrap-colorpicker\dist\js\bootstrap-colorpicker.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
frontend\vendors\bower_components\bootstrap\dist\js\bootstrap.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
frontend\vendors\bower_components\datatables.net-buttons\js\buttons.html5.min.js, JavaScript, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
frontend\vendors\bower_components\datatables.net-buttons\js\buttons.print.min.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
frontend\vendors\bower_components\datatables.net-buttons\js\dataTables.buttons.min.js, JavaScript, 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
frontend\vendors\bower_components\datatables.net\js\jquery.dataTables.min.js, JavaScript, 0, 0, 163, 0, 0, 0, 0, 4, 1, 168
frontend\vendors\bower_components\dropzone\dist\dropzone.css, CSS, 0, 0, 0, 0, 0, 0, 383, 4, 2, 389
frontend\vendors\bower_components\dropzone\dist\min\dropzone.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
frontend\vendors\bower_components\flatpickr\dist\flatpickr.min.css, CSS, 0, 0, 0, 0, 0, 0, 7, 6, 0, 13
frontend\vendors\bower_components\flatpickr\dist\flatpickr.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 1, 0, 3
frontend\vendors\bower_components\flot.curvedlines\curvedLines.js, JavaScript, 0, 0, 274, 0, 0, 0, 0, 134, 76, 484
frontend\vendors\bower_components\flot.orderbars\js\jquery.flot.orderBars.js, JavaScript, 0, 0, 134, 0, 0, 0, 0, 32, 35, 201
frontend\vendors\bower_components\flot\jquery.flot.js, JavaScript, 0, 0, 2239, 0, 0, 0, 0, 404, 526, 3169
frontend\vendors\bower_components\flot\jquery.flot.pie.js, JavaScript, 0, 0, 526, 0, 0, 0, 0, 128, 167, 821
frontend\vendors\bower_components\flot\jquery.flot.resize.js, JavaScript, 0, 0, 28, 0, 0, 0, 0, 22, 10, 60
frontend\vendors\bower_components\fullcalendar\dist\fullcalendar.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5
frontend\vendors\bower_components\fullcalendar\dist\fullcalendar.min.js, JavaScript, 0, 0, 5, 0, 0, 0, 0, 5, 0, 10
frontend\vendors\bower_components\jquery-mask-plugin\dist\jquery.mask.min.js, JavaScript, 0, 0, 16, 0, 0, 0, 0, 2, 1, 19
frontend\vendors\bower_components\jquery-scrollLock\jquery-scrollLock.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
frontend\vendors\bower_components\jquery.easy-pie-chart\dist\jquery.easypiechart.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 8, 0, 9
frontend\vendors\bower_components\jquery.scrollbar\jquery.scrollbar.css, CSS, 0, 0, 0, 0, 0, 0, 745, 22, 138, 905
frontend\vendors\bower_components\jquery.scrollbar\jquery.scrollbar.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 15, 0, 16
frontend\vendors\bower_components\jquery\dist\jquery.min.js, JavaScript, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
frontend\vendors\bower_components\jqvmap\dist\jquery.vmap.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 8, 1, 10
frontend\vendors\bower_components\jqvmap\dist\maps\jquery.vmap.world.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
frontend\vendors\bower_components\jszip\dist\jszip.min.js, JavaScript, 0, 0, 4, 0, 0, 0, 0, 11, 0, 15
frontend\vendors\bower_components\lightgallery\demo\js\lg-fullscreen.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
frontend\vendors\bower_components\lightgallery\demo\js\lg-thumbnail.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
frontend\vendors\bower_components\lightgallery\demo\js\lg-video.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
frontend\vendors\bower_components\lightgallery\demo\js\lg-zoom.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
frontend\vendors\bower_components\lightgallery\dist\css\lightgallery.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
frontend\vendors\bower_components\lightgallery\dist\fonts\lgd641.svg, XML, 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
frontend\vendors\bower_components\lightgallery\dist\js\lightgallery.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
frontend\vendors\bower_components\material-design-iconic-font\dist\css\material-design-iconic-font.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
frontend\vendors\bower_components\moment\min\moment.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 5, 0, 7
frontend\vendors\bower_components\nouislider\distribute\nouislider.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
frontend\vendors\bower_components\nouislider\distribute\nouislider.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
frontend\vendors\bower_components\remarkable-bootstrap-notify\dist\bootstrap-notify.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
frontend\vendors\bower_components\salvattore\dist\salvattore.min.js, JavaScript, 0, 0, 3, 0, 0, 0, 0, 4, 0, 7
frontend\vendors\bower_components\select2\dist\css\select2.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
frontend\vendors\bower_components\select2\dist\js\select2.full.min.js, JavaScript, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
frontend\vendors\bower_components\sweetalert2\dist\sweetalert2.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
frontend\vendors\bower_components\sweetalert2\dist\sweetalert2.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
frontend\vendors\bower_components\tether\dist\js\tether.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
frontend\vendors\bower_components\trumbowyg\dist\trumbowyg.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2
frontend\vendors\bower_components\trumbowyg\dist\ui\trumbowyg.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
frontend\vendors\jquery.sparkline\jquery.sparkline.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 2, 1, 5
frontend\widgets.html, HTML, 0, 0, 0, 0, 1209, 0, 0, 42, 234, 1485
threads.js, JavaScript, 0, 0, 17, 0, 0, 0, 0, 20, 3, 40
Total, -, 2803, 52, 5739, 9336, 38095, 3, 1531, 3879, 9708, 71146
